,excess_count
0,0
1,13
2,14
3,3
4,10
5,13
6,15
7,3
8,10
9,10
10,5
11,12
12,12
13,8
14,0
15,11
16,12
17,16
18,4
19,8
20,14
21,0
22,0
23,10
24,12
25,0
26,12
27,1
28,3
29,14
30,0
31,10
32,2
33,1
34,4
35,14
36,7
37,1
38,11
39,0
40,15
41,15
42,0
43,10
44,13
45,10
46,5
47,9
48,0
49,16
50,2
51,5
52,9
53,2
54,2
55,11
56,12
57,0
58,12
59,13
60,4
61,9
62,13
63,10
64,0
65,6
66,0
67,0
68,8
69,3
70,0
71,0
72,6
73,0
74,10
75,14
76,11
77,0
78,5
79,3
80,6
81,0
82,0
83,2
84,6
85,13
86,6
87,7
88,15
89,10
90,8
91,14
92,11
93,13
94,10
95,14
96,7
97,7
98,12
99,12
100,7
101,0
102,14
103,6
104,14
105,11
106,17
107,2
108,0
109,13
110,0
111,5
112,11
113,14
114,8
115,0
116,0
117,13
118,1
119,13
120,12
121,5
122,0
123,6
124,3
125,14
126,2
127,11
128,6
129,2
130,1
131,2
132,16
133,0
134,0
135,13
136,6
137,0
138,9
139,0
140,16
141,14
142,0
143,10
144,7
145,9
146,16
147,0
148,0
149,13
150,0
151,0
152,5
153,0
154,4
155,8
156,11
157,10
158,0
159,2
160,9
161,15
162,10
163,12
164,3
165,9
166,0
167,6
168,2
169,8
170,1
171,0
172,0
173,1
174,6
175,0
176,12
177,14
178,8
179,0
180,8
181,0
182,8
183,2
184,15
185,15
186,7
187,0
188,0
189,16
190,14
191,1
192,2
193,3
194,15
195,7
196,15
197,12
198,12
199,3
200,11
201,1
202,4
203,12
204,3
205,13
206,3
207,14
208,2
209,9
210,10
211,4
212,0
213,2
214,0
215,11
216,6
217,1
218,1
219,16
220,9
